 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort
   149    3.298               0            -636            -176          4.8840;
   150    3.320               0           -1062            -292          4.8840;
   151    3.342               0           -1247            -331          4.8840;
   152    3.365               0           -1157            -315          4.8840;
   153    3.387               0            -831            -229          4.8840;
   154    3.409               0            -259             -84          3.2949;
   155    3.431               0             407             107         -3.2668;
   156    3.453               0             916             255         -4.8840;
   157    3.475               0            1235             325         -4.8840;
   158    3.497               0            1312             349         -4.8840;
   159    3.520               0            1176             315         -4.8840;
   160    3.542               0             834             227         -4.8840;
   161    3.564               0             266              88         -3.3736;
   162    3.586               0            -397            -100          3.1746;
   163    3.608               0            -889            -252          4.8840;
   164    3.630               0           -1177            -312          4.8840;
   165    3.652               0           -1176            -320          4.8840;
   166    3.674               0            -939            -255          4.8840;
   167    3.697               0            -444            -133          4.8840;
   168    3.719               0             209              48         -1.2668;
   169    3.741               0             759             216         -4.8840;
   170    3.763               0            1133             298         -4.8840;
   171    3.785               0            1257             336         -4.8840;
   172    3.807               0            1182             315         -4.8840;
   173    3.829               0             890             242         -4.8840;
   174    3.852               0             379             116         -4.4151;
   175    3.874               0            -277             -64          1.9615;
   176    3.896               0            -794            -226          4.8840;
   177    3.918               0           -1114            -298          4.8840;
   178    3.940               0           -1150            -313          4.8840;
   179    3.962               0            -942            -257          4.8840]
